,XBB.TO,XCB.TO,XEF.TO,XEM.TO,XHY.TO,XIG.TO,XIU.TO,XSB.TO,XUS.TO
2016-06-07,24.47104835510254,15.808682441711426,20.235965728759766,20.532869338989258,11.583686828613281,17.33839988708496,16.02416229248047,22.598634719848633,14.78174877166748
2016-06-08,24.4863224029541,15.815997123718262,20.189180374145508,20.582592010498047,11.631526947021484,17.367719650268555,15.933381080627441,22.598634719848633,14.751176834106445
2016-06-09,24.51685333251953,15.84528636932373,19.96303367614746,20.38372230529785,11.595649719238281,17.411705017089844,15.850156784057617,22.598634719848633,14.755549430847168
2016-06-10,24.570274353027344,15.874584197998047,19.463958740234375,19.92799186706543,11.541817665100098,17.426374435424805,15.615622520446777,22.630386352539062,14.663844108581543
2016-06-13,24.585554122924805,15.8965425491333,19.206621170043945,19.729122161865234,11.50594425201416,17.389707565307617,15.57778549194336,22.630386352539062,14.615809440612793
2016-06-14,24.585554122924805,15.881900787353516,18.97268295288086,19.646265029907227,11.452130317687988,17.36038589477539,15.456733703613281,22.622453689575195,14.620172500610352
2016-06-15,24.62609100341797,15.887031555175781,19.256969451904297,20.040935516357422,11.417268753051758,17.415496826171875,15.502471923828125,22.634382247924805,14.695524215698242
2016-06-16,24.603151321411133,15.887031555175781,19.328439712524414,20.032625198364258,11.44130802154541,17.39345932006836,15.464364051818848,22.610523223876953,14.752806663513184
2016-06-17,24.5801944732666,15.879701614379883,19.431671142578125,19.932918548583984,11.453324317932129,17.400800704956055,15.510087013244629,22.61847686767578,14.62502384185791
2016-06-20,24.465435028076172,15.813631057739258,19.765195846557617,20.198802947998047,11.549470901489258,17.37140464782715,15.609166145324707,22.570772171020508,14.664680480957031
2016-06-21,24.419538497924805,15.776911735534668,19.939897537231445,20.331741333007812,11.567497253417969,17.349367141723633,15.616789817810059,22.562820434570312,14.686715126037598
2016-06-22,24.43484115600586,15.776911735534668,19.924013137817383,20.439754486083984,11.573506355285645,17.37876319885254,15.616789817810059,22.554880142211914,14.677897453308105
2016-06-23,24.358333587646484,15.74755573272705,20.31312370300293,20.772109985351562,11.639606475830078,17.37140464782715,15.78447151184082,22.546926498413086,14.757216453552246
2016-06-24,24.526641845703125,15.806285858154297,19.026674270629883,19.949535369873047,11.49538803100586,17.452239990234375,15.47960090637207,22.570772171020508,14.54129695892334
2016-06-27,24.679643630981445,15.872355461120605,18.653453826904297,19.72519302368164,11.32713794708252,17.562469482421875,15.250950813293457,22.61847686767578,14.338602066040039
2016-06-28,24.702600479125977,15.887031555175781,19.082263946533203,20.256961822509766,11.483373641967773,17.59920883178711,15.441492080688477,22.634382247924805,14.54129695892334
2016-06-29,24.656696319580078,15.879701614379883,19.376083374023438,20.65578842163086,11.567497253417969,17.613906860351562,15.647281646728516,22.602577209472656,14.730777740478516
2016-06-30,24.748493194580078,15.901721954345703,19.582548141479492,20.772109985351562,11.633597373962402,17.657997131347656,15.670148849487305,22.634382247924805,14.876192092895508
2016-07-04,24.786746978759766,15.90907096862793,19.66196060180664,20.82196617126465,11.669655799865723,17.59920883178711,15.898799896240234,22.64232063293457,14.968725204467773
2016-07-05,24.90149688720703,15.975144386291504,19.29667091369629,20.705642700195312,11.639606475830078,17.834348678588867,15.845446586608887,22.6502685546875,14.902628898620605
2016-07-06,24.970346450805664,16.00450325012207,19.17755699157715,20.522846221923828,11.645617485046387,17.849056243896484,15.853069305419922,22.666179656982422,14.929068565368652
2016-07-07,24.978002548217773,16.0118465423584,19.201379776000977,20.564390182495117,11.693684577941895,17.856403350830078,15.746366500854492,22.674131393432617,14.981943130493164
2016-07-08,25.00861167907715,16.0118465423584,19.582548141479492,21.06292152404785,11.813867568969727,17.95927619934082,15.875929832458496,22.682079315185547,15.246329307556152
2016-07-11,25.000953674316406,16.019182205200195,20.011363983154297,21.436817169189453,11.837907791137695,17.915184020996094,16.0054988861084,22.674131393432617,15.396150588989258
2016-07-12,24.840293884277344,15.960451126098633,20.090770721435547,21.56145477294922,11.891993522644043,17.819665908813477,16.14268684387207,22.6502685546875,15.391746520996094
2016-07-13,24.89385223388672,15.989825248718262,20.01930809020996,21.41189193725586,11.855937957763672,17.89313507080078,16.173171997070312,22.6502685546875,15.321244239807129
2016-07-14,24.840293884277344,15.953113555908203,19.9875431060791,21.58637809753418,11.88598918914795,17.849056243896484,16.203659057617188,22.634382247924805,15.330052375793457
2016-07-15,24.6949462890625,15.916402816772461,19.971660614013672,21.62792205810547,11.891993522644043,17.760866165161133,16.188419342041016,22.610523223876953,15.343273162841797
2016-07-18,24.748493194580078,15.90907096862793,20.051071166992188,21.81072235107422,11.89799976348877,17.768213272094727,16.23414421081543,22.610523223876953,15.396150588989258
2016-07-19,24.771448135375977,15.953113555908203,20.011363983154297,21.735939025878906,11.86795425415039,17.819665908813477,16.23414421081543,22.626426696777344,15.471057891845703
2016-07-20,24.717899322509766,15.923748970031738,20.241653442382812,21.885498046875,11.88598918914795,17.790258407592773,16.25701141357422,22.610523223876953,15.572408676147461
2016-07-21,24.756145477294922,15.945770263671875,20.217832565307617,21.918729782104492,11.891993522644043,17.797609329223633,16.264633178710938,22.602577209472656,15.541563034057617
